,name,type,desc,atk,def,level,race,attribute,scale,archetype,linkval,linkmarkers
8,3-Hump Lacooda,Effect Monster,"If there are 3 face-up ""3-Hump Lacooda"" cards on your side of the field, Tribute 2 of them to draw 3 cards.",500.0,1500.0,3.0,Beast,EARTH,,,,
9,"30,000-Year White Turtle",Normal Monster,"A huge turtle that has existed for more than 30,000 years.",1250.0,2100.0,5.0,Aqua,WATER,,,,
10,4-Starred Ladybug of Doom,Flip Effect Monster,FLIP: Destroy all Level 4 monsters your opponent controls.,800.0,1200.0,3.0,Insect,WIND,,,,
12,7 Colored Fish,Normal Monster,A rare rainbow fish that has never been caught by mortal man.,1800.0,800.0,4.0,Fish,WATER,,,,
14,8-Claws Scorpion,Effect Monster,"Once per turn, you can flip this card into face-down Defense Position. When this card attacks an opponent's face-down Defense Position monster, this card's ATK becomes 2400 during damage calculation only.",300.0,200.0,2.0,Insect,DARK,,,,
15,A Cat of Ill Omen,Flip Effect Monster,"FLIP: Choose 1 Trap from your Deck and place it on top of your Deck, or, if ""Necrovalley"" is on the field, you can add that Trap to your hand instead.",500.0,300.0,2.0,Beast,DARK,,,,
23,A Man with Wdjat,Effect Monster,"When you Normal Summon this card, and during each of your Standby Phases, select 1 Set card on your opponent's side of the field. Pick it up and look at it, then return it to its original position.",1600.0,1600.0,4.0,Spellcaster,DARK,,,,
28,A-Assault Core,Union Effect Monster,"Once per turn, you can either: Target 1 LIGHT Machine monster you control; equip this card to that target, OR: Unequip this card and Special Summon it. A monster equipped with this card is unaffected by your opponent's monster effects (except its own), also if the equipped monster would be destroyed by battle or card effect, destroy this card instead. If this card is sent from the field to the GY: You can add 1 other Union monster from your GY to your hand.",1900.0,200.0,4.0,Machine,LIGHT,,ABC,,
29,A-Team: Trap Disposal Unit,Effect Monster,"This effect can be used during either player's turn. When your opponent activates a Trap Card, Tribute this face-up card to negate the activation of the Trap Card and destroy it.",300.0,400.0,2.0,Machine,FIRE,,,,
30,A-to-Z-Dragon Buster Cannon,Fusion Monster,"""ABC-Dragon Buster"" + ""XYZ-Dragon Cannon""
Must be Special Summoned (from your Extra Deck) by banishing cards you control with the above original names, and cannot be Special Summoned by other ways. (You do not use ""Polymerization"".) During either player's turn, when your opponent activates a Spell/Trap Card, or monster effect: You can discard 1 card; negate the activation, and if you do, destroy that card. During either player's turn: You can banish this card, then target 1 each of your banished ""ABC-Dragon Buster"", and ""XYZ-Dragon Cannon""; Special Summon them.",4000.0,4000.0,10.0,Machine,LIGHT,,ABC,,
40,A/D Changer,Effect Monster,"You can banish this card from your Graveyard, then target 1 monster on the field; change its battle position.",100.0,100.0,1.0,Warrior,LIGHT,,,,
41,ABC-Dragon Buster,Fusion Monster,"""A-Assault Core"" + ""B-Buster Drake"" + ""C-Crush Wyvern""
Must first be Special Summoned (from your Extra Deck) by banishing the above cards you control and/or from your GY. (You do not use ""Polymerization"".) Once per turn (Quick Effect): You can discard 1 card, then target 1 card on the field; banish it. During your opponent's turn (Quick Effect): You can Tribute this card, then target 3 of your banished LIGHT Machine Union monsters with different names; Special Summon them.",3000.0,2800.0,8.0,Machine,LIGHT,,ABC,,
43,Abaki,Effect Monster,"When this card is destroyed and sent to the Graveyard by battle, both players take 500 damage.",1700.0,1100.0,4.0,Fiend,FIRE,,,,
44,Abare Ushioni,Effect Monster,"Once per turn, you can toss a coin and call it. If you call it right, inflict 1000 damage to your opponent. If you call it wrong, you take 1000 damage.",1200.0,1200.0,4.0,Beast-Warrior,EARTH,,,,
46,Abominable Unchained Soul,Effect Monster,"You can only Special Summon ""Abominable Unchained Soul(s)"" once per turn. If a card(s) you control is destroyed by battle or card effect: You can Special Summon this card from your hand. If this card is Special Summoned: You can discard 1 card; destroy 1 card on the field. Once per turn, during the End Phase, if this card is in the GY because it was destroyed on the field and sent there this turn: You can Special Summon this card, but place it on the bottom of the Deck when it leaves the field.",3000.0,1500.0,8.0,Fiend,DARK,,,,
48,Absolute Crusader,Effect Monster,If a Level 5 or higher monster(s) is Special Summoned: Tribute this face-up card; destroy that Level 5 or higher monster(s).,1800.0,1200.0,4.0,Warrior,EARTH,,,,
50,Absolute King Back Jack,Effect Monster,"During your opponent's turn (Quick Effect): You can banish this card from the GY; excavate the top card of your Deck, and if it is a Normal Trap, Set it to your field. Otherwise, send it to the GY. That Set card can be activated during this turn. If this card is sent to the GY: You can look at 3 cards from the top of your Deck, then place them on the top of the Deck in any order. You can only use each effect of ""Absolute King Back Jack"" once per turn.",0.0,0.0,1.0,Fiend,DARK,,,,
52,Absorbing Jar,Flip Effect Monster,"FLIP: Destroy all Set Spell/Trap Cards on the field, then each player draws 1 card for each of the cards they controlled that was destroyed by this effect. You cannot Set any cards this turn.",600.0,500.0,3.0,Rock,EARTH,,,,
53,Absorbing Kid from the Sky,Effect Monster,"When this card destroys a monster and sends it to the Graveyard as a result of battle, increase your Life Points by the Level of the destroyed monster x 300 points.",1300.0,1000.0,4.0,Fairy,LIGHT,,,,
54,Absorouter Dragon,Effect Monster,"If you control a ""Rokket"" monster, you can Special Summon this card (from your hand). You can only Special Summon ""Absorouter Dragon"" once per turn this way. If this card is sent to the GY: You can add 1 ""Rokket"" monster from your Deck to your hand. You can only use this effect of ""Absorouter Dragon"" once per turn.",1200.0,2800.0,7.0,Dragon,DARK,,Rokket,,
55,Abyss Actor - Comic Relief,Pendulum Effect Monster,"[ Pendulum Effect ] You can target 1 ""Abyss Actor"" Pendulum Monster you control and 1 monster your opponent controls; switch control of both monsters, then destroy this card. You can only use this effect of ""Abyss Actor - Comic Relief"" once per turn.
[ Monster Effect ] You take no battle damage from attacks involving this card. Once per turn, during your Standby Phase: Give control of this card to your opponent. Once per turn, if control of this face-up card changes: Activate this effect; the owner of this card can destroy 1 Set ""Abyss Script"" Spell in their Spell & Trap Zone.",1000.0,2000.0,3.0,Fiend,DARK,8.0,Abyss Actor,,
56,Abyss Actor - Curtain Raiser,Pendulum Effect Monster,"[ Pendulum Effect ]
If you control no monsters: You can Special Summon this card from your Pendulum Zone. You can only use this effect of ""Abyss Actor - Curtain Raiser"" once per Duel.
----------------------------------------
[ Monster Effect ]
Gains 1100 ATK if you control no other monsters. Once per turn: You can send 1 ""Abyss Script"" Spell from your Deck to the GY; add 1 face-up ""Abyss Actor"" Pendulum Monster from your Extra Deck to your hand.",1100.0,1000.0,4.0,Fiend,DARK,7.0,Abyss Actor,,
